Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
St Maarten,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
St Martin,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,2.306,2.635,4.282,2.965,0.165,0.165,0.824
St Vincent Gren,Total renewable energy,Electricity generation (GWh),24,18,22,20,27,26,23.193,22.714,23.673,26.108,24.5,30.912,24.698,23.043,12.202,17.624,16.742,21.144,24.92,26.676
Trinidad Tobago,Total renewable energy,Electricity generation (GWh),20.531,30.039,27.369,13.902,25.579,24.743,29.09,22.285,3.534,3.939,4.408,4.408,4.408,4.408,4.892,5.582,5.582,5.582,4.698,4.698
Turks Caicos,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.047,0.296,0.686,1.466
US Virgin Is,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0.69,0.885,1.52,7.451,13.546,13.602,7.512,7.512,7.512
Armenia,Total renewable energy,Electricity generation (GWh),1261.1,967.7,1657.5,1981.9,2013.6,1772.9,1825.3,1855.4,1798.9,2023.7,2563.1,2494.3,2315.1,2177.2,1996.6,2209.3,2354.35,2273.843,2339.5,2397.8
Azerbaijan,Total renewable energy,Electricity generation (GWh),1534,1301,2020,2469,2755,3009,2518,2364.229,2232.329,2310.629,3447.187,2676,1821.2,1626.4,1478.751,1828.478,2191.81,1976,2052.201,1910.3
Georgia,Total renewable energy,Electricity generation (GWh),5881.3,5535.39,6711.5,6497.2,6027.8,6030.4,5401.6,6831.17,7169.012,7417.005,9374.896,7892.456,7220.512,8271.206,8335.337,8453.764,9338.585,9298.518,10034.032,9017.227
Russian Fed,Total renewable energy,Electricity generation (GWh),164957.994,174862.298,163226.53,157009.578,177144.95,174228.33,175179.082,178876.233,166715.889,176153.401,168497.301,167875.608,167225.261,182826.405,177046.212,169804.219,186357.646,186946.935,193399.525,197725.284
Turkey,Total renewable energy,Electricity generation (GWh),31154.149,24346.446,33966.891,35560.485,46313.228,39750.57,44525.508,36461.349,34426.77,38148.455,55720.482,58109.775,65234.46,69249.339,52632.219,83661.217,90247.698,87238.5,97770.976,132263.834
